Class,AvgX,AvgY,AvgZ,AvgTX1, AvgTX2,AvgTY1,AvgTY2,AvgTZ1,AvgTZ2,StdX,StdY,StdZ,StdTX1,StdTX2,StdTY1,StdTY2,StdTZ1,StdTZ2,AbsDiffX,AbsDiffY,AbsDiffZ,AbsDiffTX1,AbsDiffTX2,AbsDiffTY1,AbsDiffTY2,AbsDiffTZ1,AbsDiffTZ2,AvgResultantXYZ,AvgResultantTXYZ
2,0.057324,-0.96723,-0.1974,2.2333,1.5333,3.2667,2.2667,2.5667,3.1333,0.026771,0.058444,0.029584,1.577,0.62346,2.1302,1.3513,1.2936,2.0124,0.020634,0.045991,0.024982,1.2956,0.56889,1.7022,1.12,1.1378,1.3778,14.587,105.02
2,0.037814,-0.97341,-0.18278,2.3,1.4667,2.8333,2.3333,2.1333,2.6667,0.02305,0.052712,0.023032,1.2796,0.72408,1.6891,1.0196,1.3957,1.5477,0.01756,0.044332,0.017566,1.0467,0.62222,1.4333,0.88889,0.99556,1.3778,26.738,190.61
2,0.039994,-0.98016,-0.17454,2.2,1.2667,1.9667,2,1.8667,2.3333,0.025081,0.032849,0.021015,1.176,0.44595,0.99092,0.82339,1.0965,1.2026,0.019937,0.026114,0.015679,0.93333,0.39111,0.77333,0.66667,0.80889,1.0667,41.133,288.34
2,0.034423,-0.98726,-0.17548,1.8667,1.5333,3.4,2.0667,1.8333,2.1333,0.020153,0.058483,0.020037,0.92913,0.62346,2.2489,1.1913,1.3041,1.0328,0.016427,0.045526,0.013768,0.80889,0.56889,1.8533,1.0133,1,0.94222,57.494,395.4
2,0.03164,-0.9953,-0.17549,2.4,1.4,2.9333,2.2667,2.6,2.4,0.025221,0.052235,0.024588,1.6177,0.61617,1.7454,1.0715,1.6995,1.3679,0.020195,0.041506,0.018368,1.3333,0.53333,1.4667,0.88889,1.4533,1.1467,75.622,515.64
2,0.035921,-0.99157,-0.12257,1.9,1.7333,2.7667,1.8667,2.4333,2.8667,0.026148,0.051757,0.038217,0.87721,0.68561,1.7209,0.81233,1.4186,2.111,0.020013,0.03682,0.028337,0.66,0.58667,1.4178,0.57778,1.2156,1.84,95.354,644.15
2,0.019225,-0.99554,-0.054367,2.6,2.2,3.3667,2.8667,2.4,3.8,0.03772,0.075177,0.035822,1.4637,1.0544,3.1835,2.0124,1.3174,2.0236,0.027993,0.04755,0.028779,1.1733,0.82667,2.2711,1.7422,1.1467,1.5467,116.56,788.51
2,-0.057526,-0.98867,-0.11012,2.2333,2.4667,2.7,1.4667,2.2333,3.6667,0.063401,0.049877,0.10476,1.37,1.0328,2.0361,1.0328,1.1255,2.5423,0.051132,0.035715,0.09414,1.1467,0.89778,1.3333,0.74667,0.91111,2.0889,139.15,945.24
2,-0.12925,-0.97435,-0.25833,2.7,2.2,3.2,2.2,3.3667,4.4,0.047734,0.060042,0.043968,1.9511,1.2323,2.2155,0.98806,2.139,2.7259,0.039753,0.042344,0.035606,1.3533,0.96,1.6,0.8,1.84,2.2667,163.06,1112.8
2,0.11928,-0.96923,-0.20308,2.6,2.3333,2.1667,1.6667,1.7333,2.4667,0.087026,0.038026,0.039842,1.6177,1.5477,1.1956,0.87656,1.1026,1.8362,0.076309,0.029178,0.03331,1.3467,1.3333,0.95556,0.71111,0.88,1.4933,188.22,1291.2
